Item;ACUSACION;ANIO_DENUNCIA;ANIO_HECHO;ATIPICIDAD_INEXISTENCIA;CAPTURA;CONDENA;CONEXO;DELITO;DEPARTAMENTO;ESTADO_NOTICIA;ETAPA;GRUPO_EDAD_VICTIMA;HECHO;HOMICIDIO_DOLOSO_CONSUMADO;IMPUTACION;LEY;MUNICIPIO;PAIS_NACIMIENTO;RUPTURA;SECCIONAL;SEXO_VICTIMA;TOTAL_VICTIMAS;Region;Nß_Habitantes
2220;SI;2017;2017;NO;SI;NO;NO;FEMINICIDIO ART. 104A C.P.;Choc¢;INACTIVO;JUICIO;ADULTEZ 29 - 59;SI;NO;SI;Ley 906;QUIBDO;Colombia;NO;DIRECCI‡N SECCIONAL DE CHOC‡;FEMENINO;1;Regi¢n Pac°fico;
2311;SI;2017;2017;NO;SI;SI;NO;FEMINICIDIO ART. 104A C.P.;Choc¢;INACTIVO;EJECUCI‡N DE PENAS;ADULTEZ 29 - 59;SI;SI;SI;Ley 906;QUIBDO;Colombia;NO;DIRECCI‡N SECCIONAL DE CHOC‡;FEMENINO;2;Regi¢n Pac°fico;
2312;SI;2017;2017;NO;SI;SI;NO;FEMINICIDIO ART. 104A C.P.;Choc¢;INACTIVO;EJECUCI‡N DE PENAS;JUVENTUD 18 - 28;SI;NO;SI;Ley 906;QUIBDO;Colombia;NO;DIRECCI‡N SECCIONAL DE CHOC‡;FEMENINO;1;Regi¢n Pac°fico;
2470;SI;2018;2018;NO;SI;NO;NO;FEMINICIDIO ART. 104A C.P.;Choc¢;ACTIVO;JUICIO;SIN DATO;SI;SI;SI;Ley 906;QUIBDO;Colombia;NO;DIRECCI‡N SECCIONAL DE CHOC‡;FEMENINO;1;Regi¢n Pac°fico;
2593;SI;2018;2018;NO;SI;SI;NO;FEMINICIDIO ART. 104A C.P.;Choc¢;INACTIVO;EJECUCI‡N DE PENAS;ADULTEZ 29 - 59;SI;NO;SI;Ley 906;QUIBDO;Colombia;NO;DIRECCI‡N SECCIONAL DE CHOC‡;FEMENINO;1;Regi¢n Pac°fico;
2796;SI;2019;2019;NO;SI;NO;NO;FEMINICIDIO ART. 104A C.P.;Choc¢;ACTIVO;JUICIO;ADULTEZ 29 - 59;SI;NO;SI;Ley 906;QUIBDO;Colombia;NO;DIRECCI‡N SECCIONAL DE CHOC‡;FEMENINO;1;Regi¢n Pac°fico;
2926;SI;2019;2019;NO;SI;SI;NO;FEMINICIDIO ART. 104A C.P.;Choc¢;INACTIVO;EJECUCI‡N DE PENAS;JUVENTUD 18 - 28;SI;NO;SI;Ley 906;QUIBDO;Colombia;NO;DIRECCI‡N SECCIONAL DE CHOC‡;FEMENINO;2;Regi¢n Pac°fico;
2927;SI;2019;2019;NO;SI;SI;NO;FEMINICIDIO ART. 104A C.P.;Choc¢;INACTIVO;EJECUCI‡N DE PENAS;SIN DATO;SI;NO;SI;Ley 906;QUIBDO;Colombia;NO;DIRECCI‡N SECCIONAL DE CHOC‡;FEMENINO;1;Regi¢n Pac°fico;
3033;SI;2020;2020;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P. AGRAVADO NUM. 1, 3, 5, 7 Y 8 DEL ART. 104. ART. 104B L.G;Choc¢;ACTIVO;JUICIO;ADULTEZ 29 - 59;SI;NO;SI;Ley 906;QUIBDO;Colombia;NO;DIRECCI‡N SECCIONAL DE CHOC‡;FEMENINO;1;Regi¢n Pac°fico;
2310;SI;2017;2017;NO;SI;SI;NO;FEMINICIDIO ART. 104A C.P.;Choc¢;INACTIVO;EJECUCI‡N DE PENAS;ADOLESCENTE 14 - 17;SI;NO;SI;Ley 906;RIOSUCIO;Colombia;NO;DIRECCI‡N SECCIONAL DE CHOC‡;FEMENINO;1;Regi¢n Eje Cafetero - Antioquia;
2314;SI;2017;2017;NO;SI;SI;NO;FEMINICIDIO ART. 104A C.P.;Choc¢;INACTIVO;EJECUCI‡N DE PENAS;SIN DATO;SI;NO;SI;Ley 906;RIOSUCIO;Colombia;NO;DIRECCI‡N SECCIONAL DE CHOC‡;FEMENINO;1;Regi¢n Eje Cafetero - Antioquia;
2594;SI;2018;2018;NO;SI;SI;NO;FEMINICIDIO ART. 104A C.P.;Choc¢;INACTIVO;EJECUCI‡N DE PENAS;ADULTEZ 29 - 59;SI;SI;SI;Ley 906;RIOSUCIO;Colombia;NO;DIRECCI‡N SECCIONAL DE CHOC‡;FEMENINO;1;Regi¢n Eje Cafetero - Antioquia;
122;NO;2016;2016;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P. AGRAVADO NUM. 1, 3, 5, 7 Y 8 DEL ART. 104. ART. 104B L.G;Choc¢;ACTIVO;INDAGACI‡N;JUVENTUD 18 - 28;SI;NO;NO;Ley 906;TAD‡;Colombia;NO;DIRECCI‡N SECCIONAL DE CHOC‡;FEMENINO;1;Regi¢n Pac°fico;
826;NO;2020;2020;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Choc¢;INACTIVO;INDAGACI‡N;JUVENTUD 18 - 28;SI;SI;NO;Ley 906;TAD‡;Colombia;NO;DIRECCI‡N SECCIONAL DE CHOC‡;FEMENINO;1;Regi¢n Pac°fico;
1658;NO;2022;2022;NO;SI;NO;NO;FEMINICIDIO ART. 104A C.P.;Choc¢;ACTIVO;INVESTIGACI‡N;ADULTEZ 29 - 59;SI;NO;SI;Ley 906;TAD‡;Colombia;NO;DIRECCI‡N SECCIONAL DE CHOC‡;FEMENINO;1;Regi¢n Pac°fico;
1395;NO;2022;2022;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Choc¢;ACTIVO;INDAGACI‡N;SIN DATO;SI;NO;NO;Ley 906;UNI‡N PANAMERICANA;N/A;NO;DIRECCI‡N SECCIONAL DE CHOC‡;N/A;1;Regi¢n Pac°fico;
